"Title","Path","Start period","Faculteiten","Minor taal","Interessegebied"
"Aarde, klimaat en  leven (biogeologie)","/geo/aw/aarde-klimaat-en-leven-biogeologie","Periode 2, Periode 3","Geowetenschappen","Nederlands","Aarde en milieu"
"Aarde, water en milieu (geochemie)","/geo/aw/aarde-water-en-milieu-geochemie","Periode 1","Geowetenschappen","Nederlands","Aarde en milieu"
"Aardoppervlak en landvormen (fysische geografie)","/geo/aw/aardoppervlak-en-landvormen-fysische-geografie","Periode 2","Geowetenschappen","Nederlands","Aarde en milieu"
"Addiction","/dgk/addiction","","Diergeneeskunde","Nederlands","Mens, dier en gezondheid, Mens en gedrag"
"Algemene sociale wetenschappen","/fsw/algemene-sociale-wetenschappen-1","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Antieke cultuur","/gw/antieke-cultuur","Periode 1","Geesteswetenschappen","","Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Arabisch","/gw/arabisch","Periode 1","Geesteswetenschappen","","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie, Religie, filosofie en ethiek"
"Arbeid, zorg en participatie","/fsw/arbeid-zorg-en-participatie","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Arbeids- en Organisatiepsychologie","/fsw/arbeids-en-organisatiepsychologie","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Archeologie","/gw/archeologie","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis"
"Atlantic Europe","/en/node/351/atlantic-europe","Periode 3","Geesteswetenschappen","Engels","Kunst, cultuur en geschiedenis"
"Beeldcultuur en samenleving","/gw/beeldcultuur-en-samenleving","Periode 3","Geesteswetenschappen","Nederlands","Mens en gedrag, Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Beleidssociologie","/fsw/beleidssociologie","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
